CAM_ID,Species,Date,Time,Latitude,Longitude
A1,Vehicle,23-05-2024,18:50:34,28.44228,77.23447
A1,Vehicle,24-05-2024,07:21:02,28.44228,77.23447
A1,Vehicle,28-05-2024,19:46:30,28.44228,77.23447
A13,Vehicle,21-03-2024,15:11:44,28.48332,77.23753
A13,Vehicle,09-05-2024,09:31:10,28.48332,77.23753
A15,Vehicle,10-05-2024,12:23:32,28.41165,77.21386
A15,Vehicle,03-06-2024,16:20:56,28.41165,77.21386
A15,Vehicle,08-06-2024,07:45:16,28.41165,77.21386
A17,Vehicle,09-05-2024,08:59:12,28.41505,77.21671
A19,Vehicle,27-05-2024,06:48:42,28.42648,77.2172
A19,Vehicle,27-05-2024,14:06:10,28.42648,77.2172
A19,Vehicle,28-05-2024,08:19:06,28.42648,77.2172
A19,Vehicle,28-05-2024,09:39:08,28.42648,77.2172
A19,Vehicle,28-05-2024,17:19:58,28.42648,77.2172
A19,Vehicle,29-05-2024,10:25:26,28.42648,77.2172
A19,Vehicle,29-05-2024,17:38:56,28.42648,77.2172
A19,Vehicle,30-05-2024,19:05:10,28.42648,77.2172
A19,Vehicle,31-05-2024,09:15:20,28.42648,77.2172
A19,Vehicle,01-06-2024,08:22:12,28.42648,77.2172
A19,Vehicle,01-06-2024,16:14:28,28.42648,77.2172
A19,Vehicle,01-06-2024,19:22:10,28.42648,77.2172
A19,Vehicle,02-06-2024,06:31:04,28.42648,77.2172
A19,Vehicle,02-06-2024,16:06:16,28.42648,77.2172
A19,Vehicle,02-06-2024,17:09:52,28.42648,77.2172
A19,Vehicle,03-06-2024,16:05:14,28.42648,77.2172
A19,Vehicle,04-06-2024,05:08:32,28.42648,77.2172
A19,Vehicle,04-06-2024,06:01:58,28.42648,77.2172
A19,Vehicle,04-06-2024,15:17:02,28.42648,77.2172
A19,Vehicle,04-06-2024,15:58:26,28.42648,77.2172
A19,Vehicle,04-06-2024,17:20:56,28.42648,77.2172
A19,Vehicle,04-06-2024,17:57:28,28.42648,77.2172
A19,Vehicle,04-06-2024,18:58:02,28.42648,77.2172
A19,Vehicle,05-06-2024,06:46:30,28.42648,77.2172
A19,Vehicle,05-06-2024,07:17:08,28.42648,77.2172
A19,Vehicle,05-06-2024,08:04:52,28.42648,77.2172
A19,Vehicle,05-06-2024,08:40:48,28.42648,77.2172
A19,Vehicle,05-06-2024,09:22:10,28.42648,77.2172
A19,Vehicle,05-06-2024,09:53:54,28.42648,77.2172
A19,Vehicle,05-06-2024,10:30:30,28.42648,77.2172
A19,Vehicle,05-06-2024,11:09:38,28.42648,77.2172
A19,Vehicle,05-06-2024,11:49:36,28.42648,77.2172
A19,Vehicle,05-06-2024,12:21:00,28.42648,77.2172
A19,Vehicle,05-06-2024,12:51:46,28.42648,77.2172
A19,Vehicle,05-06-2024,13:26:32,28.42648,77.2172
A19,Vehicle,05-06-2024,14:04:48,28.42648,77.2172
A19,Vehicle,05-06-2024,14:43:46,28.42648,77.2172
A19,Vehicle,05-06-2024,15:55:36,28.42648,77.2172
A19,Vehicle,05-06-2024,16:32:24,28.42648,77.2172
A19,Vehicle,05-06-2024,17:03:00,28.42648,77.2172
A19,Vehicle,06-06-2024,05:27:42,28.42648,77.2172
A19,Vehicle,06-06-2024,06:48:46,28.42648,77.2172
A19,Vehicle,06-06-2024,08:43:32,28.42648,77.2172
A19,Vehicle,06-06-2024,10:10:48,28.42648,77.2172
A19,Vehicle,06-06-2024,13:25:48,28.42648,77.2172
A19,Vehicle,06-06-2024,18:39:16,28.42648,77.2172
A19,Vehicle,08-06-2024,08:02:34,28.42648,77.2172
A3,Vehicle,09-05-2024,10:13:04,28.47193,77.23153
A3,Vehicle,21-05-2024,06:44:08,28.47193,77.23153
A3,Vehicle,28-05-2024,08:42:04,28.47193,77.23153
A3,Vehicle,28-05-2024,16:57:16,28.47193,77.23153
A3,Vehicle,04-06-2024,19:49:30,28.47193,77.23153
A3,Vehicle,09-06-2024,19:00:14,28.47193,77.23153
A5,Vehicle,14-05-2024,00:29:08,28.41992,77.22028
A5,Vehicle,14-05-2024,04:43:36,28.41992,77.22028
A5,Vehicle,14-05-2024,05:32:54,28.41992,77.22028
A5,Vehicle,14-05-2024,06:32:44,28.41992,77.22028
A5,Vehicle,14-05-2024,16:57:12,28.41992,77.22028
A5,Vehicle,14-05-2024,23:33:48,28.41992,77.22028
A5,Vehicle,15-05-2024,11:49:02,28.41992,77.22028
A5,Vehicle,15-05-2024,19:23:16,28.41992,77.22028
A5,Vehicle,16-05-2024,06:32:38,28.41992,77.22028
A5,Vehicle,16-05-2024,09:00:02,28.41992,77.22028
A5,Vehicle,16-05-2024,11:10:18,28.41992,77.22028
A5,Vehicle,16-05-2024,11:50:52,28.41992,77.22028
A5,Vehicle,16-05-2024,13:52:00,28.41992,77.22028
A5,Vehicle,16-05-2024,14:45:50,28.41992,77.22028
A5,Vehicle,17-05-2024,01:40:08,28.41992,77.22028
A5,Vehicle,17-05-2024,06:32:40,28.41992,77.22028
A5,Vehicle,17-05-2024,07:08:50,28.41992,77.22028
A7,Vehicle,11-05-2024,09:04:42,28.44955,77.22835
A7,Vehicle,17-05-2024,07:41:14,28.44955,77.22835
A7,Vehicle,20-05-2024,06:47:16,28.44955,77.22835
A7,Vehicle,23-05-2024,12:25:18,28.44955,77.22835
A7,Vehicle,24-05-2024,07:10:18,28.44955,77.22835
